category,position,budget,limit_time,response_time,top1_score,top1_distance,top1_walk_time,top1_price,top5_score,top5_distance,top5_price,budget_success,distance_score,price_score,time_score,similarity
중식,정문,15000,18,0.005770166986621916,61.25000000000001,150,3,10250.0,44.933677097618286,229.0,10250.0,True,87.50000000000003,0.0,0.0,100.0
분식,후문,7000,10,0.005628250015433878,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
카페,정문,15000,14,0.00579245897824876,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
일식,후문,7000,11,0.0056020830234047025,57.660102045859794,167,4,9250.0,44.557268814626056,251.0,9250.0,False,100.0,0.0,100.0,21.886005845313694
카페,정문,5000,6,0.006064417015295476,65.0,58,1,5000.0,53.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
한식,후문,5000,9,0.005806374974781647,80.0,157,3,9000.0,72.4799333035288,181.6,9000.0,False,100.0,100.0,0.0,100.0
한식,후문,5000,20,0.005598707997705787,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,False,100.0,100.0,0.0,100.0
중식,후문,7000,10,0.005452750017866492,59.0,220,5,10250.0,41.06017620679919,263.8,10250.0,False,80.0,0.0,0.0,100.0
중식,정문,20000,20,0.005458291998365894,61.25,150,3,10250.0,44.933677097618286,229.0,10250.0,True,87.5,0.0,0.0,100.0
카페,정문,7000,7,0.005573166999965906,65.0,58,1,5000.0,55.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
한식,정문,10000,13,0.0055271250021178275,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.00000000000001,100.0,100.0,40.59209136330302
중식,정문,20000,7,0.005582082987530157,55.0,150,3,10250.0,30.66580122559837,190.0,10250.0,True,66.66666666666666,0.0,0.0,100.00000000000003
중식,정문,5000,13,0.005393458006437868,61.25,150,3,10250.0,44.933677097618286,229.0,10250.0,False,87.5,0.0,0.0,100.0
일식,후문,7000,6,0.005534916010219604,50.0,167,4,9250.0,44.0,229.0,9250.0,False,100.0,0.0,100.0,0.0
일식,후문,15000,14,0.005553124996367842,57.660102045859794,167,4,9250.0,44.55726881462605,251.0,9250.0,True,100.0,0.0,100.0,21.886005845313694
양식,후문,10000,6,0.005596582981524989,65.00000000000001,202,4,17333.333333333332,33.33333333333334,224.33333333333334,17333.333333333332,False,100.0,0.0,0.0,100.00000000000004
양식,정문,5000,10,0.00605637498665601,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
한식,후문,10000,16,0.005785000015748665,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,True,100.0,100.0,0.0,100.0
일식,후문,15000,11,0.005692459002602845,57.660102045859794,167,4,9250.0,44.557268814626056,251.0,9250.0,True,100.0,0.0,100.0,21.886005845313694
한식,후문,5000,10,0.006080624996684492,80.0,157,3,9000.0,73.28431288142433,181.6,9000.0,False,100.0,100.0,0.0,100.0
카페,후문,5000,10,0.005926791985984892,61.66666666666667,96,2,5000.0,55.022234986173125,153.0,5000.0,True,88.8888888888889,0.0,0.0,100.0
카페,정문,20000,5,0.006336959020700306,65.0,58,1,5000.0,50.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
양식,후문,20000,15,0.006217499991180375,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,True,100.0,0.0,0.0,100.0
카페,후문,10000,5,0.005952957988483831,57.5,96,2,5000.0,48.28447896413719,111.0,5000.0,True,75.0,0.0,0.0,100.0
중식,후문,15000,17,0.005744542024331167,59.0,220,5,10250.0,41.0601762067992,263.8,10250.0,True,79.99999999999999,0.0,0.0,100.0
양식,정문,10000,7,0.0063292089907918125,0.0,307,7,17333.333333333332,0.0,311.5,17333.333333333332,False,0.0,0.0,0.0,0.0
중식,정문,5000,12,0.0066542080021463335,61.25,150,3,10250.0,44.933677097618286,229.0,10250.0,False,87.49999999999999,0.0,0.0,100.0
일식,후문,20000,9,0.005475457990542054,72.31893709653266,167,4,9250.0,60.427574838613054,229.0,9250.0,True,99.99999999999999,0.0,100.0,63.76839170437905
분식,정문,15000,14,0.005774749995907769,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
중식,정문,10000,14,0.006026791990734637,61.25,150,3,10250.0,44.933677097618286,229.0,10250.0,False,87.49999999999999,0.0,0.0,100.0
일식,후문,7000,5,0.006753875000867993,50.0,167,4,9250.0,30.656698565793725,216.0,9250.0,False,100.0,0.0,100.0,0.0
카페,후문,20000,20,0.006507790996693075,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
한식,후문,7000,17,0.0057200409937649965,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,False,100.0,100.0,0.0,100.0
일식,정문,20000,16,0.005874291993677616,57.14238957839563,104,2,9250.0,43.620303450474296,167.8,9250.0,True,100.00000000000003,0.0,100.0,20.406827366844638
양식,정문,5000,12,0.0053765410266350955,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
카페,후문,20000,10,0.0055850420030765235,61.66666666666667,96,2,5000.0,55.022234986173125,153.0,5000.0,True,88.8888888888889,0.0,0.0,100.0
중식,후문,7000,13,0.006596124992938712,59.0,220,5,10250.0,41.06017620679919,263.8,10250.0,False,80.00000000000001,0.0,0.0,100.0
한식,후문,15000,13,0.005663124989951029,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,True,100.0,99.99999999999999,0.0,100.0
분식,후문,5000,9,0.006433834001654759,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
양식,후문,10000,6,0.005961666989605874,65.00000000000001,202,4,17333.333333333332,33.33333333333334,224.33333333333334,17333.333333333332,False,100.0,0.0,0.0,100.00000000000004
분식,후문,15000,6,0.0062169999873731285,65.0,29,1,4625.0,28.5,186.2,4625.0,True,99.99999999999999,0.0,0.0,100.0
일식,정문,7000,7,0.00615454200305976,57.14238957839562,104,2,9250.0,43.620303450474296,167.8,9250.0,False,100.0,0.0,100.0,20.406827366844638
양식,후문,20000,18,0.0059621249965857714,65.0,202,4,17333.333333333332,37.999999999999986,313.8,17333.333333333332,True,100.0,0.0,0.0,100.0
카페,후문,10000,18,0.0055907910282257944,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.0,0.0,0.0,100.0
한식,후문,20000,7,0.005682291986886412,80.0,157,3,9000.0,70.61560675495255,181.6,9000.0,True,100.0,100.0,0.0,100.0
양식,정문,10000,10,0.005449124990263954,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
중식,후문,10000,18,0.005453542020404711,58.999999999999986,220,5,10250.0,41.06017620679919,263.8,10250.0,False,79.99999999999996,0.0,0.0,100.0
카페,후문,15000,5,0.005580541997915134,57.5,96,2,5000.0,48.28447896413719,111.0,5000.0,True,75.0,0.0,0.0,100.0
양식,후문,7000,8,0.005515333003131673,65.00000000000001,202,4,17333.333333333332,33.33333333333334,224.33333333333334,17333.333333333332,False,100.0,0.0,0.0,100.00000000000004
카페,정문,20000,11,0.005568874999880791,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
한식,후문,5000,9,0.00560945802135393,80.0,157,3,9000.0,72.4799333035288,181.6,9000.0,False,100.0,100.0,0.0,100.0
카페,후문,5000,19,0.00562162499409169,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.0,0.0,0.0,100.0
분식,후문,5000,12,0.0056476250174455345,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
양식,후문,15000,16,0.005506749992491677,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
한식,후문,5000,19,0.005649750004522502,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,False,100.0,100.0,0.0,100.0
카페,후문,10000,13,0.005622875003609806,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
한식,후문,20000,16,0.005582207988481969,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,True,100.0,100.0,0.0,100.0
양식,후문,7000,16,0.005488666007295251,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
한식,정문,20000,12,0.005643915996188298,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.00000000000001,100.0,100.0,40.59209136330302
중식,정문,15000,11,0.00548570801038295,61.25000000000001,150,3,10250.0,44.933677097618286,229.0,10250.0,True,87.50000000000003,0.0,0.0,100.0
분식,정문,10000,5,0.0054623750038445,64.99999999999999,120,3,4625.0,36.24999999999999,173.0,4625.0,True,100.0,0.0,0.0,99.99999999999997
양식,정문,10000,12,0.0057471669861115515,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
분식,후문,7000,17,0.005765040987171233,64.99999999999999,29,1,4625.0,42.57142857142857,207.4,4625.0,True,99.99999999999997,0.0,0.0,100.0
카페,후문,15000,10,0.005867708008736372,61.66666666666667,96,2,5000.0,55.022234986173125,153.0,5000.0,True,88.8888888888889,0.0,0.0,100.0
한식,후문,20000,9,0.005807750014355406,80.0,157,3,9000.0,72.4799333035288,181.6,9000.0,True,100.0,100.0,0.0,100.0
